Sector,Sector_name,Institution,State,Tuition
1,"4-year, public",University of Pittsburgh-Pittsburgh Campus,PA,17772
1,"4-year, public",College of William and Mary,VA,17656
1,"4-year, public",Pennsylvania State University-Main Campus,PA,17502
1,"4-year, public",Colorado School of Mines,CO,16918
1,"4-year, public",University of New Hampshire-Main Campus,NH,16552
1,"4-year, public",University of Vermont,VT,16226
1,"4-year, public",New Jersey Institute of Technology,NJ,15648
1,"4-year, public",Virginia Military Institute,VA,15518
1,"4-year, public",Pennsylvania College of Technology,PA,15450
1,"4-year, public",The College of New Jersey,NJ,15024
1,"4-year, public",University of Illinois at Urbana-Champaign,IL,15020
1,"4-year, public",Temple University,PA,14696
1,"4-year, public",Pennsylvania State University-Penn State Altoona,PA,14588
1,"4-year, public",Pennsylvania State University-Penn State Berks,PA,14588
1,"4-year, public",Pennsylvania State University-Penn State Erie-Behrend College,PA,14588
1,"4-year, public",Pennsylvania State University-Penn State Harrisburg,PA,14588
1,"4-year, public",Miami University-Oxford,OH,14287
1,"4-year, public",Winthrop University,SC,14082
1,"4-year, public",Michigan Technological University,MI,14040
1,"4-year, public",Pennsylvania State University-Penn State Abington,PA,13942
1,"4-year, public",Pennsylvania State University-Penn State Brandywine,PA,13942
1,"4-year, public",Pennsylvania State University-Penn State Lehigh Valley,PA,13930
1,"4-year, public",Pennsylvania State University-Penn State York,PA,13930
1,"4-year, public",University of California-Davis,CA,13896
1,"4-year, public",Pennsylvania State University-Penn State Hazleton,PA,13882
1,"4-year, public",Pennsylvania State University-Penn State Worthington Scranton,PA,13882
1,"4-year, public",Pennsylvania State University-Penn State Schuylkill,PA,13870
1,"4-year, public",University of California-Santa Barbara,CA,13865
1,"4-year, public",St Mary's College of Maryland,MD,13824
1,"4-year, public",Rutgers University-New Brunswick,NJ,13813
1,"4-year, public",University of New Hampshire at Manchester,NH,13768
1,"4-year, public",Rutgers University-Camden,NJ,13683
1,"4-year, public",Pennsylvania State University-Penn State Greater Allegheny,PA,13648
1,"4-year, public",Pennsylvania State University-Penn State Mont Alto,PA,13648
1,"4-year, public",Pennsylvania State University-Penn State Beaver,PA,13636
1,"4-year, public",University of Illinois at Chicago,IL,13634
1,"4-year, public",Pennsylvania State University-Penn State Fayette- Eberly,PA,13588
1,"4-year, public",Pennsylvania State University-Penn State New Kensington,PA,13588
1,"4-year, public",Pennsylvania State University-Penn State Wilkes-Barre,PA,13588
1,"4-year, public",University of Minnesota-Twin Cities,MN,13560
1,"4-year, public",Pennsylvania State University-Penn State DuBois,PA,13528
1,"4-year, public",Pennsylvania State University-World Campus,PA,13516
1,"4-year, public",Northern Illinois University,IL,13505
1,"4-year, public",University of Michigan-Ann Arbor,MI,13486
1,"4-year, public",Clemson University,SC,13446
1,"4-year, public",University of Massachusetts-Amherst,MA,13443
1,"4-year, public",University of California-San Diego,CA,13427
1,"4-year, public",University of California-Riverside,CA,13407
1,"4-year, public",University of California-Santa Cruz,CA,13397
1,"4-year, public",Ramapo College of New Jersey,NJ,13388
1,"4-year, public",University of Pittsburgh-Johnstown,PA,13374
1,"4-year, public",University of Pittsburgh-Greensburg,PA,13372
1,"4-year, public",Pennsylvania State University-Penn State Shenango,PA,13332
